utterance,intent
could I talk to a human?,0
"you're not helping, how do I contact a human?",0
"I acn't understand you, what can I do to talk to a human?",0
"u are not helping, can u speak with a human agent?",0
can u contact a human?,0
"you arent helping, what do i have to do to speak with someone?",0
"you aren't helping, help me contact a human",0
"you arent helping, what should i do to contact a human?",0
"you're not helping, contact someone",0
I don't understand you and I want to speak with a human,0
you are not helping and I would like to speak with a human agent,0
"i dont understand you, can u talk to a human?",0
u are not helping and i want to contact a human,0
"I can't understand you, how can I contact a person ?",0
"I don't understand you, how do I contact a person?",0
"I don't understand you, can you contact fucking someone?",0
"youre not helping, how can i contact a human agent?",0
"I can't understand you, can you talk to a human?",0
"you're not helping, can I contact someone?",0
"you arent helping, what can i do to talk to a human?",0
"you're not helping, help me talk to a human",0
you're not helping and I want to contact a human agent,0
I need help speaking with a human agent,0
"I don't understand you, what should I do to contact a person ?",0
"you arent helping, what do i have to do to speak with a human agent?",0
"i dont understand you, help me talk to fucking someone, please",0
"you aren't helping, what can I do to contact a human agent?",0
"I can't understand you, how can I speak with a human?",0
"you aren't helping, how do I talk to someone?",0
"you aren't helping, how can I talk to someone?",0
can u contcat someone?,0
how do i contact a human?,0
"u are not helping, how do i talk to someone?",0
can you speak with a human agent?,0
help me contact a person,0
"you aren't helping, what do I have to do to speak with a human agent ?",0
can u talk to a human?,0
"you aren't helping, can you speak with a human?",0
"you aren't helping, help me speak with a person",0
"I don't understand you, what can I do to speak with a human ?",0
can I speak with a human agent?,0
"you aren't helping, what can I do to speak with a human?",0
"I can't understand you, what should I do to talk to someone?",0
"you're not helping, can I talk to a human?",0
you're not helping and I want to speak with a human,0
"I can't understand you, can you speak with a human agent?",0
"I don't understand you, what do I have to do to contact someone?",0
"I don't understand you, what can I do to talk to a human agent?",0
"you're not helping, how can I contact someone?",0
"i dont understanbd you, how do i talk to a person?",0
"u are not helping, i need help talking to a human agent",0
"youre not helping, help me speak with a person",0
"I can't understand you and I would like to talk to someone, please",0
"I don't understand you, help me contact a person",0
"you aren't helping, what should I do to speak with someone?",0
"you aren't helping, how can I speak with someone?",0
"you aren't helping, what can I do to speak with a human agent?",0
"u are not helping, can i talk to a human agent?",0
"you aren't helping, what should I do to talk to a human agent?",0
"I don't understand you, help me speak with a human",0
"i cant understand you, help me contact a human",0
"I don't understand you, what should I do to speak with someone?",0
"I don't understand you, I need help contacting someone",0
"I don't understand you, how do I contact a human agent?",0
I want to talk to someone,0
"you aren't helping, how can I talk to a human?",0
"you're not helping, speak with a human agent",0
"I can't understand you, can I speak with a human agent?",0
